,vote_shares,votes,eevp,eevp_source,timestamp,trumpd,bidenj,third_party,trumpd_votes,bidenj_votes,third_party_votes,trumpd_votes_diff,bidenj_votes_diff,third_party_votes_diff,abs_trumpd_votes_diff,abs_bidenj_votes_diff,abs_third_party_votes_diff,Increase in Votes per TS,Delta_Trump_Biden
48,"{'bidenj': 0.592, 'trumpd': 0.399}",871782,16,edison,2020-11-04T02:14:32Z,0.399,0.592,0.009000000000000008,347842.0,516095.0,7847.0,-42325.0,-196432.0,-1046.0,42325.0,196432.0,1046.0,871782,-168253.0
49,"{'bidenj': 0.59, 'trumpd': 0.402}",877724,16,edison,2020-11-04T02:14:56Z,0.402,0.59,0.008000000000000007,352846.0,517858.0,7022.0,5004.0,1763.0,-825.0,5004.0,1763.0,825.0,877724,-165012.0
50,"{'bidenj': 0.586, 'trumpd': 0.406}",888907,16,edison,2020-11-04T02:16:43Z,0.406,0.586,0.008000000000000007,360897.0,520900.0,7112.0,8051.0,3042.0,90.0,8051.0,3042.0,90.0,888907,-160003.0
51,"{'bidenj': 0.6890000000000001, 'trumpd': 0.301}",774021,16,edison,2020-11-04T02:17:03Z,0.301,0.6890000000000001,0.010000000000000009,232981.0,533301.0,7741.0,-127916.0,12401.0,629.0,127916.0,12401.0,629.0,774021,-300320.0
52,"{'bidenj': 0.685, 'trumpd': 0.306}",781428,16,edison,2020-11-04T02:17:32Z,0.306,0.685,0.008999999999999897,239117.0,535279.0,7033.0,6136.0,1978.0,-708.0,6136.0,1978.0,708.0,781428,-296162.0
53,"{'bidenj': 0.677, 'trumpd': 0.299}",1288475,18,edison,2020-11-04T02:18:59Z,0.299,0.677,0.02400000000000002,385255.0,872298.0,30924.0,146138.0,337019.0,23891.0,146138.0,337019.0,23891.0,1288475,-487043.0
54,"{'bidenj': 0.677, 'trumpd': 0.299}",1288604,18,edison,2020-11-04T02:19:33Z,0.299,0.677,0.02400000000000002,385293.0,872385.0,30927.0,38.0,87.0,3.0,38.0,87.0,3.0,1288604,-487092.0
55,"{'bidenj': 0.664, 'trumpd': 0.312}",1325632,19,edison,2020-11-04T02:21:59Z,0.312,0.664,0.02399999999999991,413598.0,880220.0,31816.0,28305.0,7835.0,889.0,28305.0,7835.0,889.0,1325632,-466622.0
56,"{'bidenj': 0.627, 'trumpd': 0.363}",739443,19,edison,2020-11-04T02:22:45Z,0.363,0.627,0.010000000000000009,268418.0,463631.0,7395.0,-145180.0,-416589.0,-24421.0,145180.0,416589.0,24421.0,739443,-195213.0
57,"{'bidenj': 0.629, 'trumpd': 0.361}",779178,19,edison,2020-11-04T02:23:32Z,0.361,0.629,0.010000000000000009,281284.0,490103.0,7792.0,12866.0,26472.0,397.0,12866.0,26472.0,397.0,779178,-208819.0
58,"{'bidenj': 0.625, 'trumpd': 0.364}",786831,19,edison,2020-11-04T02:24:00Z,0.364,0.625,0.01100000000000001,286407.0,491770.0,8656.0,5123.0,1667.0,864.0,5123.0,1667.0,864.0,786831,-205363.0
59,"{'bidenj': 0.624, 'trumpd': 0.366}",789060,19,edison,2020-11-04T02:24:33Z,0.366,0.624,0.010000000000000009,288796.0,492374.0,7891.0,2389.0,604.0,-765.0,2389.0,604.0,765.0,789060,-203578.0
60,"{'bidenj': 0.622, 'trumpd': 0.367}",796833,19,edison,2020-11-04T02:24:41Z,0.367,0.622,0.01100000000000001,292438.0,495631.0,8766.0,3642.0,3257.0,875.0,3642.0,3257.0,875.0,796833,-203193.0
61,"{'bidenj': 0.619, 'trumpd': 0.371}",805891,19,edison,2020-11-04T02:25:14Z,0.371,0.619,0.010000000000000009,298986.0,498847.0,8059.0,6548.0,3216.0,-707.0,6548.0,3216.0,707.0,805891,-199861.0
62,"{'bidenj': 0.61, 'trumpd': 0.38}",826032,19,edison,2020-11-04T02:27:12Z,0.38,0.61,0.010000000000000009,313893.0,503880.0,8261.0,14907.0,5033.0,202.0,14907.0,5033.0,202.0,826032,-189987.0
63,"{'bidenj': 0.605, 'trumpd': 0.384}",843633,19,edison,2020-11-04T02:29:18Z,0.384,0.605,0.01100000000000001,323956.0,510398.0,9280.0,10063.0,6518.0,1019.0,10063.0,6518.0,1019.0,843633,-186442.0
64,"{'bidenj': 0.603, 'trumpd': 0.386}",847907,19,edison,2020-11-04T02:29:31Z,0.386,0.603,0.01100000000000001,327293.0,511288.0,9327.0,3337.0,890.0,47.0,3337.0,890.0,47.0,847907,-183995.0
65,"{'bidenj': 0.603, 'trumpd': 0.386}",848033,19,edison,2020-11-04T02:30:54Z,0.386,0.603,0.01100000000000001,327341.0,511364.0,9329.0,48.0,76.0,2.0,48.0,76.0,2.0,848033,-184023.0
66,"{'bidenj': 0.599, 'trumpd': 0.391}",856034,19,edison,2020-11-04T02:31:27Z,0.391,0.599,0.010000000000000009,334710.0,512765.0,8561.0,7369.0,1401.0,-768.0,7369.0,1401.0,768.0,856034,-178055.0
67,"{'bidenj': 0.602, 'trumpd': 0.387}",872558,19,edison,2020-11-04T02:31:58Z,0.387,0.602,0.01100000000000001,337680.0,525280.0,9599.0,2970.0,12515.0,1038.0,2970.0,12515.0,1038.0,872558,-187600.0
68,"{'bidenj': 0.597, 'trumpd': 0.391}",888822,19,edison,2020-11-04T02:32:09Z,0.391,0.597,0.01200000000000001,347530.0,530627.0,10666.0,9850.0,5347.0,1067.0,9850.0,5347.0,1067.0,888822,-183097.0
69,"{'bidenj': 0.594, 'trumpd': 0.394}",902116,19,edison,2020-11-04T02:32:54Z,0.394,0.594,0.01200000000000001,355434.0,535857.0,10826.0,7904.0,5230.0,160.0,7904.0,5230.0,160.0,902116,-180423.0
70,"{'bidenj': 0.594, 'trumpd': 0.394}",902152,19,edison,2020-11-04T02:33:27Z,0.394,0.594,0.01200000000000001,355448.0,535879.0,10826.0,14.0,22.0,0.0,14.0,22.0,0.0,902152,-180431.0
71,"{'bidenj': 0.5750000000000001, 'trumpd': 0.41300000000000003}",949266,19,edison,2020-11-04T02:34:54Z,0.41300000000000003,0.5750000000000001,0.0119999999999999,392047.0,545828.0,11392.0,36599.0,9949.0,566.0,36599.0,9949.0,566.0,949266,-153781.0
72,"{'bidenj': 0.5750000000000001, 'trumpd': 0.41300000000000003}",949342,19,edison,2020-11-04T02:35:23Z,0.41300000000000003,0.5750000000000001,0.0119999999999999,392079.0,545872.0,11393.0,32.0,44.0,1.0,32.0,44.0,1.0,949342,-153793.0
73,"{'bidenj': 0.5700000000000001, 'trumpd': 0.418}",961574,19,edison,2020-11-04T02:36:06Z,0.418,0.5700000000000001,0.01200000000000001,401938.0,548098.0,11539.0,9859.0,2226.0,146.0,9859.0,2226.0,146.0,961574,-146160.0
74,"{'bidenj': 0.5630000000000001, 'trumpd': 0.425}",982386,19,edison,2020-11-04T02:37:14Z,0.425,0.5630000000000001,0.0119999999999999,417515.0,553084.0,11789.0,15577.0,4986.0,250.0,15577.0,4986.0,250.0,982386,-135569.0
75,"{'bidenj': 0.56, 'trumpd': 0.428}",993848,19,edison,2020-11-04T02:38:07Z,0.428,0.56,0.01200000000000001,425367.0,556555.0,11927.0,7852.0,3471.0,138.0,7852.0,3471.0,138.0,993848,-131188.0
76,"{'bidenj': 0.559, 'trumpd': 0.428}",994006,19,edison,2020-11-04T02:38:19Z,0.428,0.559,0.013000000000000012,425435.0,555650.0,12923.0,68.0,-905.0,996.0,68.0,905.0,996.0,994006,-130215.0
77,"{'bidenj': 0.555, 'trumpd': 0.432}",1004180,19,edison,2020-11-04T02:39:32Z,0.432,0.555,0.013000000000000012,433806.0,557320.0,13055.0,8371.0,1670.0,132.0,8371.0,1670.0,132.0,1004180,-123514.0
78,"{'bidenj': 0.552, 'trumpd': 0.435}",1012346,19,edison,2020-11-04T02:39:53Z,0.435,0.552,0.0129999999999999,440371.0,558815.0,13161.0,6565.0,1495.0,106.0,6565.0,1495.0,106.0,1012346,-118444.0
79,"{'bidenj': 0.552, 'trumpd': 0.435}",1019160,19,edison,2020-11-04T02:40:21Z,0.435,0.552,0.0129999999999999,443335.0,562577.0,13250.0,2964.0,3762.0,89.0,2964.0,3762.0,89.0,1019160,-119242.0
80,"{'bidenj': 0.551, 'trumpd': 0.436}",1026928,19,edison,2020-11-04T02:40:30Z,0.436,0.551,0.013000000000000012,447741.0,565838.0,13351.0,4406.0,3261.0,101.0,4406.0,3261.0,101.0,1026928,-118097.0
81,"{'bidenj': 0.537, 'trumpd': 0.45}",1103356,19,edison,2020-11-04T02:41:08Z,0.45,0.537,0.013000000000000012,496511.0,592503.0,14344.0,48770.0,26665.0,993.0,48770.0,26665.0,993.0,1103356,-95992.0
82,"{'bidenj': 0.532, 'trumpd': 0.455}",1125611,19,edison,2020-11-04T02:41:23Z,0.455,0.532,0.0129999999999999,512154.0,598826.0,14633.0,15643.0,6323.0,289.0,15643.0,6323.0,289.0,1125611,-86672.0
83,"{'bidenj': 0.53, 'trumpd': 0.457}",1130997,19,edison,2020-11-04T02:42:28Z,0.457,0.53,0.0129999999999999,516866.0,599429.0,14703.0,4712.0,603.0,70.0,4712.0,603.0,70.0,1130997,-82563.0
84,"{'bidenj': 0.527, 'trumpd': 0.459}",1138662,19,edison,2020-11-04T02:42:46Z,0.459,0.527,0.013999999999999901,522646.0,600075.0,15942.0,5780.0,646.0,1239.0,5780.0,646.0,1239.0,1138662,-77429.0
85,"{'bidenj': 0.526, 'trumpd': 0.461}",1143344,19,edison,2020-11-04T02:47:35Z,0.461,0.526,0.0129999999999999,527082.0,601399.0,14864.0,4436.0,1324.0,-1078.0,4436.0,1324.0,1078.0,1143344,-74317.0
86,"{'bidenj': 0.525, 'trumpd': 0.461}",1145446,19,edison,2020-11-04T02:47:57Z,0.461,0.525,0.013999999999999901,528051.0,601360.0,16037.0,969.0,-39.0,1173.0,969.0,39.0,1173.0,1145446,-73309.0
87,"{'bidenj': 0.525, 'trumpd': 0.461}",1145639,19,edison,2020-11-04T02:48:30Z,0.461,0.525,0.013999999999999901,528140.0,601461.0,16039.0,89.0,101.0,2.0,89.0,101.0,2.0,1145639,-73321.0
88,"{'bidenj': 0.525, 'trumpd': 0.461}",1145739,19,edison,2020-11-04T02:49:26Z,0.461,0.525,0.013999999999999901,528186.0,601513.0,16041.0,46.0,52.0,2.0,46.0,52.0,2.0,1145739,-73327.0
89,"{'bidenj': 0.517, 'trumpd': 0.47000000000000003}",1185670,19,edison,2020-11-04T02:49:43Z,0.47000000000000003,0.517,0.013000000000000012,557265.0,612992.0,15414.0,29079.0,11479.0,-627.0,29079.0,11479.0,627.0,1185670,-55727.0
90,"{'bidenj': 0.517, 'trumpd': 0.47000000000000003}",1186088,19,edison,2020-11-04T02:50:45Z,0.47000000000000003,0.517,0.013000000000000012,557462.0,613208.0,15420.0,197.0,216.0,6.0,197.0,216.0,6.0,1186088,-55746.0
91,"{'bidenj': 0.515, 'trumpd': 0.47200000000000003}",1211989,19,edison,2020-11-04T02:51:19Z,0.47200000000000003,0.515,0.013000000000000012,572059.0,624175.0,15756.0,14597.0,10967.0,336.0,14597.0,10967.0,336.0,1211989,-52116.0
92,"{'bidenj': 0.5, 'trumpd': 0.487}",1291913,19,edison,2020-11-04T02:51:28Z,0.487,0.5,0.013000000000000012,629162.0,645957.0,16795.0,57103.0,21782.0,1039.0,57103.0,21782.0,1039.0,1291913,-16795.0
93,"{'bidenj': 0.5, 'trumpd': 0.487}",1291950,19,edison,2020-11-04T02:52:11Z,0.487,0.5,0.013000000000000012,629180.0,645975.0,16796.0,18.0,18.0,1.0,18.0,18.0,1.0,1291950,-16795.0
94,"{'bidenj': 0.498, 'trumpd': 0.489}",1300528,19,edison,2020-11-04T02:53:55Z,0.489,0.498,0.013000000000000012,635959.0,647663.0,16907.0,6779.0,1688.0,111.0,6779.0,1688.0,111.0,1300528,-11704.0
95,"{'trumpd': 0.496, 'bidenj': 0.491}",1348610,19,edison,2020-11-04T02:55:22Z,0.496,0.491,0.013000000000000012,668911.0,662168.0,17532.0,32952.0,14505.0,625.0,32952.0,14505.0,625.0,1348610,6743.0
96,"{'trumpd': 0.497, 'bidenj': 0.49}",1350287,19,edison,2020-11-04T02:55:34Z,0.497,0.49,0.013000000000000012,671093.0,661641.0,17554.0,2182.0,-527.0,22.0,2182.0,527.0,22.0,1350287,9452.0
97,"{'trumpd': 0.503, 'bidenj': 0.484}",1390907,19,edison,2020-11-04T02:56:40Z,0.503,0.484,0.013000000000000012,699627.0,673199.0,18082.0,28534.0,11558.0,528.0,28534.0,11558.0,528.0,1390907,26428.0
98,"{'trumpd': 0.503, 'bidenj': 0.484}",1391141,19,edison,2020-11-04T02:56:56Z,0.503,0.484,0.013000000000000012,699744.0,673313.0,18085.0,117.0,114.0,3.0,117.0,114.0,3.0,1391141,26431.0
99,"{'trumpd': 0.504, 'bidenj': 0.484}",1394458,20,edison,2020-11-04T02:57:03Z,0.504,0.484,0.01200000000000001,702807.0,674918.0,16734.0,3063.0,1605.0,-1351.0,3063.0,1605.0,1351.0,1394458,27889.0
